Part Nr;Mat Description;New Sales Price;NOTAS;NUEVOS CP357;;NUEVOS CP361;;NUEVOS CP365;;ANULADOS CP365;;NUEVOS CP369;;ANULADOS CP369;;NUEVOS CP373;;ANULADOS CP373
S0PF57642332;Z-CL5;8,97;;;;;;;;;;;;;;;;
S0PF56225720;GG41 BG1002 TG106 B4 HGR2240 CWT WELD AS;155,77;;;;;;;;;;;;;;;;
S0PF56226490;GG41 BG1002 TG106 B4 HGR1820 I13 CWT;160,61;;;;;;;;;;;;;;;;
S0PF56226491;GG41 BG1002 TG106 B4 HGR2080 I13 CWT;154,47;;;;;;;;;;;;;;;;
S0PF56226492;GG41 BG1002 TG106 B4 HGR2240 I13 CWT;154,64;;;;;;;;;;;;;;;;
S0PF56226493;GG41 BG1002 TG106 B4 HGR2440 I13 CWT;154,85;;;;;;;;;;;;;;;;
S0PF56225993;Slack STM Switch 2xPV30 cpl. 7,2 m;21,91;;;;;;;;;;;;;;;;
S0PF56226486;Pal Z AL 0 CL 0 T89;10,12;;;;;;;;;;;;;;;;
S0PF56225962;Slack detector 1S type B 2xSTM CPL. 7,2;22,98;;;;;;;;;;;;;;;;
S0PF56225650;MS MRL 1002 106/160 FMB130A/B 2 T75 H50;70,71;;;;;;;;;;;;;;;;
S0PF51975238;ESPACIADOR BDF=114 PARA GUÍA T75;11,41;;;;;;;;;;;;;;;;
S0PF57642330;Z-CL4;9,29;;;;;;;;;;;;;;;;
S0PF50809689;Z-AL1E T75 or T89LH;4,64;;;;;;;;;;;;;;;;
S0PF59262721;MOD plumbing extension kit;13,18;;;;;;;;;;;;;;;;
S0PF56225965;Slack Detector 1S Type B 4xSTM cpl. 7,2;25,25;;;;;;;;;;;;;;;;
S0PF56225731;MS MRL 1002 106/160 FMB130C 4 T75 H75/T7;100,20;;;;;;;;;;;;;;;;
S0PF56226297;CTO. FIJACION LATERAL PANTALLA H50 LH;1,75;;;;;;;;;;;;;;;;
S0PF56226314;GG41 BG1002 TG106 B2 HGR2440 PV40/50 CWT;142,39;;;;;;;;;;;;;;;;
S0PF56226313;GG41 BG1002 TG106 B2 HGR2240 PV40/50 CWT;150,62;;;;;;;;;;;;;;;;
S0PF56225728;MS MRL 1002 106/160 FMB130A/B 2 T75 H75/;74,65;;;;;;;;;;;;;;;;
S0PF59262296;MOD plumbing fixation kit;7,29;;;;;;;;;;;;;;;;
S0PF57642300;Z-CH7;17,22;;;;;;;;;;;;;;;;
S0PF57642334;Z-CL6;9,81;;;;;;;;;;;;;;;;
